                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9806,                 1.7919,                 1.0459,                0.03546,                 0.9108,                0.49177,                 0.2039,                 1.7875,                 2.6926,                0.98775,             0.00065476,             0.00065476,             0.00065476
                      2,                 1.7811,                 0.9995,                 1.0147,                0.85206,                0.82609,                0.87154,                 0.3854,                 1.7761,                 1.4305,                 1.0073,              0.0013149,              0.0013149,              0.0013149
                      3,                 1.7462,                 0.9355,                 1.0127,                0.88815,                0.89063,                0.90993,                  0.418,                 1.7877,                 1.0462,                 1.0226,              0.0019684,              0.0019684,              0.0019684
                      4,                 1.6985,                0.86406,                 1.0007,                0.89316,                0.88705,                0.87587,                0.38889,                  1.775,                0.91443,                 1.0097,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.7173,                0.84778,                  1.007,                0.89553,                0.91446,                0.92767,                0.46609,                 1.6619,                0.84031,                0.98535,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.6747,                0.81812,                0.98953,                0.93644,                0.92246,                0.94226,                0.45653,                 1.6541,                0.80077,                0.98237,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.6385,                0.78259,                0.98182,                0.94609,                0.92824,                0.94914,                0.49989,                 1.5621,                0.72621,                 0.9617,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.5874,                0.75805,                0.97346,                0.93776,                0.89822,                0.93768,                 0.4493,                 1.6957,                 0.7738,                0.99523,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.6337,                 0.7749,                0.98212,                0.92921,                0.91797,                0.94076,                0.48213,                 1.6486,                 0.7487,                0.98929,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.6093,                0.73526,                0.97827,                0.93312,                0.93807,                0.95093,                0.47939,                 1.6408,                 0.7293,                0.97252,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.5828,                0.71657,                0.96704,                0.92817,                0.92093,                0.95002,                0.50006,                 1.5816,                0.72259,                0.96847,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.5672,                0.70705,                0.97119,                0.95796,                   0.95,                0.96392,                0.53222,                 1.4877,                 0.6941,                0.94557,               0.001901,               0.001901,               0.001901
                     13,                 1.5114,                 0.6835,                0.95426,                0.93811,                0.92649,                0.94354,                0.47128,                 1.6141,                0.73399,                0.96794,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.5196,                0.67831,                 0.9577,                0.95418,                0.94282,                 0.9652,                0.54463,                 1.4483,                0.66299,                0.93563,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.4667,                0.66546,                0.94483,                0.95221,                0.93904,                0.96874,                0.53761,                 1.4898,                0.66639,                0.94493,              0.0018713,              0.0018713,              0.0018713
                     16,                  1.469,                0.66254,                0.95051,                0.94901,                0.94264,                0.95584,                0.53432,                 1.4599,                0.67957,                0.93892,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.4719,                0.65848,                0.94222,                0.94425,                0.94139,                0.96347,                0.54046,                 1.4674,                0.65837,                0.94736,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.4303,                0.63901,                0.93895,                0.94935,                 0.9377,                0.96587,                0.54156,                 1.4666,                0.65951,                0.93745,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.4634,                0.65461,                0.94502,                0.95493,                0.95652,                0.97146,                  0.562,                 1.4224,                0.63844,                 0.9271,              0.0018317,              0.0018317,              0.0018317
                     20,                  1.414,                0.63028,                0.93174,                0.95857,                0.95473,                0.97306,                 0.5759,                  1.397,                0.62109,                0.92662,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.3834,                0.61631,                0.92695,                0.96744,                0.95887,                0.97471,                0.55989,                 1.4176,                0.62323,                0.92563,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.3778,                0.61433,                0.92509,                0.94978,                0.93366,                0.96532,                0.54298,                 1.4699,                0.64601,                0.93591,               0.001802,               0.001802,               0.001802
                     23,                 1.3925,                0.62141,                0.91914,                0.96809,                  0.961,                0.97415,                0.59097,                 1.2778,                0.58389,                0.89995,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.3316,                 0.5907,                0.91209,                  0.953,                0.93904,                0.96751,                0.58166,                 1.3738,                0.60766,                0.91533,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.3083,                0.59308,                 0.9121,                0.96954,                0.95652,                 0.9782,                0.60768,                 1.2371,                0.57309,                0.89057,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.3092,                0.58671,                0.91123,                 0.9722,                0.95518,                0.97678,                0.60679,                 1.2686,                0.57061,                0.89548,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.3202,                0.59099,                0.91313,                0.96769,                0.95204,                0.97229,                0.58905,                  1.301,                 0.5832,                0.90017,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.2881,                 0.5807,                0.90236,                0.97127,                0.95742,                0.97774,                0.63121,                 1.2133,                0.55717,                0.88752,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.2941,                0.58104,                0.90794,                0.96521,                0.95697,                0.97303,                0.60078,                 1.2663,                0.57698,                0.89872,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.2787,                0.57116,                0.90195,                0.97676,                0.96067,                0.97822,                0.62837,                 1.1802,                0.57138,                 0.8794,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.2258,                0.55904,                0.89559,                0.96981,                0.96464,                0.97844,                0.63104,                 1.1622,                0.54203,                 0.8745,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.2329,                 0.5561,                 0.8918,                0.97163,                0.95607,                0.98058,                0.64184,                 1.1649,                0.53188,                0.87571,               0.001703,               0.001703,               0.001703
                     33,                 1.2495,                0.56334,                 0.8937,                0.97236,                0.96191,                 0.9777,                 0.6407,                 1.1578,                0.54331,                0.87503,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.2456,                0.56079,                0.89571,                 0.9705,                0.96235,                0.97852,                0.63552,                  1.185,                0.54274,                0.87817,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.2134,                0.55087,                 0.8886,                0.95992,                0.96056,                 0.9755,                0.63967,                 1.1547,                 0.5396,                0.87238,              0.0016733,              0.0016733,              0.0016733
                     36,                  1.186,                0.53955,                0.88646,                0.98315,                0.96751,                0.98452,                0.64438,                 1.1642,                0.52994,                0.87526,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.1803,                0.53856,                 0.8837,                0.97008,                 0.9591,                0.97606,                0.66136,                 1.1278,                0.51656,                0.86816,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.1647,                0.53052,                0.88479,                0.96982,                0.96683,                0.97787,                0.65476,                 1.1393,                0.52615,                0.86945,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.1555,                0.52679,                0.88089,                0.97965,                0.97118,                0.98727,                0.66139,                 1.1256,                0.51196,                0.86596,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.1559,                0.52501,                0.87551,                0.98022,                0.96997,                0.98427,                 0.6754,                 1.0773,                0.50278,                0.86171,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.1423,                0.52023,                0.87672,                0.98444,                0.96431,                0.98676,                0.66923,                 1.0768,                0.49775,                 0.8605,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.1337,                0.51865,                0.87594,                0.97824,                0.96709,                0.97958,                0.67231,                 1.0545,                0.49549,                0.86026,               0.001604,               0.001604,               0.001604
                     43,                 1.1243,                 0.5138,                0.87386,                0.98457,                0.97228,                 0.9887,                0.68649,                  1.037,                0.49335,                0.85328,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.1355,                 0.5144,                0.87299,                0.96898,                0.96593,                0.98238,                0.67873,                 1.0727,                0.49104,                0.86131,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.1007,                 0.4994,                0.86874,                0.97307,                0.97087,                0.98428,                0.70469,                 1.0005,                0.47483,                0.85079,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.0808,                0.49508,                0.86287,                 0.9847,                0.97804,                0.99027,                0.69908,                 1.0285,                0.47348,                0.85745,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.0915,                0.49918,                0.86525,                0.98111,                0.97763,                0.98745,                0.69673,                 1.0167,                0.47617,                0.85172,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.0965,                0.50314,                0.86593,                0.98377,                0.97266,                0.98628,                0.68619,                 1.0498,                0.48449,                0.85507,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.0694,                0.49478,                 0.8652,                 0.9802,                0.97639,                0.98683,                0.70266,                0.98927,                0.46948,                0.84868,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.0572,                0.48449,                 0.8634,                0.97959,                 0.9679,                0.98702,                0.69856,                0.99985,                0.46512,                 0.8489,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.0408,                0.48001,                 0.8587,                0.97884,                0.97455,                0.98607,                0.71676,                 0.9599,                0.44994,                 0.8445,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.0268,                 0.4726,                0.85295,                0.97946,                0.97714,                0.98749,                0.71194,                0.96242,                0.45264,                0.84736,               0.001505,               0.001505,               0.001505
                     53,                 1.0237,                 0.4732,                0.85676,                0.98501,                0.97624,                0.98832,                 0.7247,                0.94021,                0.44496,                0.84372,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.0459,                0.47663,                0.85812,                 0.9822,                0.97355,                0.98709,                 0.7195,                0.94753,                0.44828,                0.84164,              0.0014852,              0.0014852,              0.0014852
                     55,                  1.023,                0.47038,                0.85619,                0.98773,                0.97427,                0.98979,                0.72097,                0.94719,                 0.4436,                0.84091,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.0085,                0.46514,                0.85463,                0.98605,                0.98028,                0.99238,                0.72779,                0.93899,                0.43937,                0.84365,              0.0014654,              0.0014654,              0.0014654
                     57,                 0.9985,                0.46564,                0.85506,                0.98549,                0.97445,                0.98785,                0.71573,                0.93345,                 0.4419,                0.84063,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.0178,                0.46889,                0.85601,                0.98544,                 0.9711,                0.98695,                 0.7182,                0.94877,                0.44167,                0.84569,              0.0014456,              0.0014456,              0.0014456
                     59,                0.98583,                0.45975,                0.84998,                0.98331,                0.97715,                0.99046,                0.73186,                0.91985,                0.43917,                 0.8383,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.0127,                0.46886,                0.85621,                 0.9889,                0.97714,                0.98958,                0.72274,                0.93984,                 0.4412,                0.84106,              0.0014258,              0.0014258,              0.0014258
                     61,                0.98241,                0.45365,                0.85083,                0.99041,                 0.9758,                0.99267,                0.75064,                0.87065,                0.41817,                0.83315,              0.0014159,              0.0014159,              0.0014159
                     62,                  0.961,                0.44457,                0.84752,                 0.9871,                0.98117,                0.99293,                0.75549,                0.85298,                0.41185,                0.83291,               0.001406,               0.001406,               0.001406
                     63,                0.96124,                0.44713,                0.84664,                0.98824,                0.97905,                0.99254,                0.73949,                0.89743,                 0.4207,                0.83769,              0.0013961,              0.0013961,              0.0013961
                     64,                0.97179,                0.45121,                0.84776,                0.98868,                0.97865,                0.99415,                0.74449,                0.88441,                0.42043,                0.83526,              0.0013862,              0.0013862,              0.0013862
                     65,                0.95782,                0.44416,                0.84383,                0.99001,                0.97731,                0.99051,                0.75609,                0.87409,                0.41132,                0.83412,              0.0013763,              0.0013763,              0.0013763
                     66,                0.95589,                0.44191,                 0.8469,                0.98466,                0.97839,                0.99257,                0.75535,                0.87097,                0.41236,                0.83261,              0.0013664,              0.0013664,              0.0013664
                     67,                0.95878,                0.44732,                0.84474,                0.98871,                0.98113,                0.99326,                0.75562,                0.85459,                0.40928,                0.83083,              0.0013565,              0.0013565,              0.0013565
                     68,                0.90102,                0.43179,                0.83854,                0.98687,                0.97938,                0.99304,                0.76371,                0.82433,                0.40332,                 0.8263,              0.0013466,              0.0013466,              0.0013466
                     69,                0.93566,                0.44051,                0.84416,                0.98389,                0.97804,                0.99298,                0.74189,                0.89658,                0.42021,                0.83675,              0.0013367,              0.0013367,              0.0013367
                     70,                0.92381,                0.43152,                0.83883,                0.98647,                0.98056,                0.99357,                0.74622,                0.86056,                0.41255,                0.83318,              0.0013268,              0.0013268,              0.0013268
                     71,                0.92812,                0.43355,                0.84247,                0.98818,                0.98207,                0.99422,                0.76201,                0.82403,                0.39397,                0.82984,              0.0013169,              0.0013169,              0.0013169
                     72,                0.89036,                0.42009,                0.83889,                0.98865,                0.98252,                0.99417,                0.77592,                0.80739,                0.38793,                0.82596,               0.001307,               0.001307,               0.001307
                     73,                0.91672,                0.43289,                 0.8407,                0.99183,                0.97897,                0.99381,                0.77275,                0.81756,                0.39462,                0.82795,              0.0012971,              0.0012971,              0.0012971
                     74,                0.88055,                0.42181,                0.83577,                0.98539,                0.97624,                0.98739,                0.77106,                0.78067,                0.39004,                0.82185,              0.0012872,              0.0012872,              0.0012872
                     75,                0.90031,                0.42658,                0.83569,                0.98693,                0.98182,                 0.9932,                 0.7795,                0.80222,                0.39047,                0.82482,              0.0012773,              0.0012773,              0.0012773
                     76,                0.91836,                0.42805,                0.84307,                0.99109,                0.97983,                0.99429,                0.76807,                0.80974,                0.39855,                0.82802,              0.0012674,              0.0012674,              0.0012674
                     77,                0.88839,                0.42134,                0.83568,                0.98814,                0.97804,                0.99358,                0.76144,                0.84369,                0.39796,                0.82779,              0.0012575,              0.0012575,              0.0012575
                     78,                0.88537,                0.41748,                0.83868,                0.98955,                 0.9765,                0.99243,                0.78702,                0.78174,                0.38541,                   0.82,              0.0012476,              0.0012476,              0.0012476
                     79,                0.87338,                0.41458,                 0.8357,                0.99237,                0.98028,                0.99421,                0.77294,                0.79811,                0.38301,                0.82355,              0.0012377,              0.0012377,              0.0012377
                     80,                0.85092,                0.40659,                0.83143,                0.98655,                0.98604,                0.99367,                0.79531,                0.76029,                0.37377,                0.82179,              0.0012278,              0.0012278,              0.0012278
                     81,                0.86114,                0.41052,                0.83444,                0.98676,                0.99014,                0.99464,                0.79594,                0.75885,                0.37479,                0.82118,              0.0012179,              0.0012179,              0.0012179
                     82,                0.84324,                0.40551,                0.83379,                0.99064,                0.97938,                 0.9936,                0.78926,                0.75933,                0.37085,                0.82031,               0.001208,               0.001208,               0.001208
                     83,                0.85711,                0.40472,                0.83299,                0.99063,                0.97983,                0.99386,                0.77209,                 0.8161,                0.38367,                0.82547,              0.0011981,              0.0011981,              0.0011981
                     84,                0.85041,                0.40602,                0.83041,                0.99078,                0.97714,                0.99405,                0.78214,                0.79399,                0.38442,                0.82473,              0.0011882,              0.0011882,              0.0011882
                     85,                0.85403,                0.40377,                0.83261,                 0.9887,                0.98033,                0.99357,                0.79963,                0.73407,                0.36581,                  0.819,              0.0011783,              0.0011783,              0.0011783
                     86,                0.81522,                0.39382,                0.82465,                0.99363,                0.97828,                0.99417,                0.78853,                0.78257,                0.37156,                0.82192,              0.0011684,              0.0011684,              0.0011684
                     87,                0.83058,                0.39361,                0.82607,                0.99353,                0.97804,                0.99416,                0.81009,                0.73153,                0.35831,                0.81815,              0.0011585,              0.0011585,              0.0011585
                     88,                0.82654,                0.39609,                0.83036,                0.99186,                0.98306,                0.99454,                0.79841,                0.74877,                0.37162,                0.81776,              0.0011486,              0.0011486,              0.0011486
                     89,                0.85246,                0.40475,                0.83242,                0.99159,                0.97759,                0.99261,                0.79613,                0.75172,                0.36838,                0.81729,              0.0011387,              0.0011387,              0.0011387
                     90,                0.80604,                0.38949,                0.82393,                0.99365,                 0.9821,                  0.994,                0.79837,                0.73808,                0.36546,                0.81716,              0.0011288,              0.0011288,              0.0011288
                     91,                0.84225,                0.39977,                0.82929,                0.98995,                0.97624,                0.99259,                0.79767,                0.74157,                0.36459,                0.82012,              0.0011189,              0.0011189,              0.0011189
                     92,                0.80689,                0.38881,                 0.8276,                0.98966,                0.98678,                 0.9945,                0.80317,                0.74277,                0.36419,                 0.8179,               0.001109,               0.001109,               0.001109
                     93,                0.80168,                0.38817,                0.82354,                 0.9923,                0.98168,                0.99426,                0.81493,                0.71033,                0.35379,                0.81402,              0.0010991,              0.0010991,              0.0010991
                     94,                0.79409,                0.38645,                 0.8255,                 0.9905,                  0.981,                0.99349,                0.80761,                0.71363,                  0.352,                0.81469,              0.0010892,              0.0010892,              0.0010892
                     95,                0.81174,                0.38805,                0.82445,                0.99156,                0.98297,                0.99426,                0.81616,                0.68652,                0.34601,                0.81341,              0.0010793,              0.0010793,              0.0010793
                     96,                 0.7768,                0.37863,                0.82365,                0.99442,                0.97893,                 0.9941,                  0.811,                0.70094,                0.34811,                0.81535,              0.0010694,              0.0010694,              0.0010694
                     97,                0.79204,                  0.382,                0.82601,                0.99513,                0.98028,                0.99425,                0.82204,                0.69433,                0.34382,                0.81385,              0.0010595,              0.0010595,              0.0010595
                     98,                0.77842,                0.37721,                0.82603,                0.99532,                0.97804,                0.99441,                0.81424,                0.69685,                0.34545,                0.81487,              0.0010496,              0.0010496,              0.0010496
                     99,                0.80539,                0.38675,                0.82672,                 0.9925,                0.97938,                0.99403,                  0.809,                0.71069,                0.35186,                0.81348,              0.0010397,              0.0010397,              0.0010397
